folder name,yt link,status
@SIMPLYGAMING69,https://www.youtube.com/@SIMPLYGAMING69/shorts,
@GoodPonsel,https://www.youtube.com/@GoodPonsel/shorts,
@sulmusik,https://www.youtube.com/@sulmusik/shorts,
@Hiburankaumrebahan,https://www.youtube.com/@Hiburankaumrebahan/shorts,
@RizkyAuliaa,https://www.youtube.com/@RizkyAuliaa/shorts,
@seimosmoto,https://www.youtube.com/@seimosmoto/shorts,
@kuyadx7093,https://www.youtube.com/@kuyadx7093/shorts,
@ssynxza,https://www.youtube.com/@ssynxza/shorts,
@ketika_itu,https://www.youtube.com/@ketika_itu/shorts,
@wilianugrahReal,https://www.youtube.com/@wilianugrahReal/shorts,
@BrightStarvidgram,https://www.youtube.com/@BrightStarvidgram/shorts,
@Tentangsekolah_04,https://www.youtube.com/@Tentangsekolah_04/shorts,
@YourLives,https://www.youtube.com/@YourLives/shorts,
@Nostalgia90han,https://www.youtube.com/@Nostalgia90han/shorts,
@Wawai_Story,https://www.youtube.com/@Wawai_Story/shorts,
@infomacammacam,https://www.youtube.com/@infomacammacam/shorts,
@matnghethuat,https://www.youtube.com/@matnghethuat/shorts,
@bangriki03,https://www.youtube.com/@bangriki03/shorts,
@imperium.motosport,https://www.youtube.com/@imperium.motosport/shorts,
@altachann5220,https://www.youtube.com/@altachann5220/shorts,
@ktd3688,https://www.youtube.com/@ktd3688/shorts,
@Hanbackcraft1,https://www.youtube.com/@Hanbackcraft1/shorts,
@pitelmydoltiktok,https://www.youtube.com/@pitelmydoltiktok/shorts,
@fixez07,https://www.youtube.com/@fixez07/shorts,
@Vhito08,https://www.youtube.com/@Vhito08/shorts,
@MinangVintage,https://www.youtube.com/@MinangVintage/shorts,
@RumahGadgetStory,https://www.youtube.com/@RumahGadgetStory/shorts,
@RumahFilmIndonesia,https://www.youtube.com/@RumahFilmIndonesia/shorts,
@reskyofficial11,https://www.youtube.com/@reskyofficial11/shorts,
@AdyatmaPrioAnggoro,https://www.youtube.com/@AdyatmaPrioAnggoro/shorts,
@Andra_97,https://www.youtube.com/@Andra_97/shorts,
@3pemudaberbahayaofficial,https://www.youtube.com/@3pemudaberbahayaofficial/shorts,
@Riko_Syahputra96,https://www.youtube.com/@Riko_Syahputra96/shorts,
@gustackbali,https://www.youtube.com/@gustackbali/shorts,
@EramaEntertainment,https://www.youtube.com/@EramaEntertainment/shorts,
@SarahViloid,https://www.youtube.com/@SarahViloid/shorts,
@julikurniaw,https://www.youtube.com/@julikurniaw/shorts,
